ORDER_ID,ACCOUNT_ID,PAYEE_NAME,PAYEE_ACCOUNT,AMOUNT,CURRENCY,FREQUENCY,NEXT_RUN_DATE,START_DATE,END_DATE,STATUS
1,ACC000176,東京電力エナジーパートナー,9944878,163500,JPY,MONTHLY,2026-09-06,2019-05-27,2029-03-31,ACTIVE
2,ACC000024,さくら学園 授業料,2946145,25500,JPY,MONTHLY,2026-09-02,2024-10-27,,ACTIVE
3,ACC000194,日本生命保険,6154502,161500,JPY,MONTHLY,2026-09-16,2024-12-01,,ACTIVE
4,ACC000082,東京ガス,8404431,132000,JPY,MONTHLY,2026-09-27,2021-10-01,,ACTIVE
5,ACC000132,住宅ローン返済,7857115,71500,JPY,MONTHLY,2026-09-18,2024-09-01,,ACTIVE
6,ACC000166,NHK,9459868,86500,JPY,BIMONTHLY,2026-09-29,2023-03-01,,ACTIVE
7,ACC000106,スポーツクラブ会費,8853785,47000,JPY,MONTHLY,2026-09-13,2019-09-27,,ACTIVE
8,ACC000135,ソフトバンク,6100508,13000,JPY,MONTHLY,2026-09-05,2020-03-27,2029-03-31,ACTIVE
9,ACC000170,ソフトバンク,5722515,108000,JPY,MONTHLY,2026-09-16,2018-09-27,,ACTIVE
10,ACC000088,NTTドコモ,5767581,93000,JPY,MONTHLY,2026-09-11,2023-12-01,,SUSPENDED
11,ACC000058,日本生命保険,2177961,156000,JPY,MONTHLY,2026-09-05,2024-05-01,,ACTIVE
12,ACC000182,日本生命保険,6850729,165000,JPY,MONTHLY,2026-09-16,2025-07-01,,ACTIVE
13,ACC000037,ソフトバンク,3641326,29500,JPY,MONTHLY,2026-09-09,2023-04-27,,ACTIVE
14,ACC000144,さくら学園 授業料,7911439,38500,JPY,MONTHLY,2026-09-08,2018-03-01,,ACTIVE
15,ACC000194,東京ガス,5241545,133000,JPY,MONTHLY,2026-09-21,2020-05-27,2029-03-31,ACTIVE
16,ACC000178,ソフトバンク,6229617,60500,JPY,MONTHLY,2026-09-23,2021-02-27,,ACTIVE
17,ACC000103,スポーツクラブ会費,8997110,176500,JPY,MONTHLY,2026-09-02,2018-05-27,,ACTIVE
18,ACC000057,ソフトバンク,6367246,16000,JPY,MONTHLY,2026-09-05,2018-11-01,,ACTIVE
19,ACC000025,〇〇マンション管理組合,5591821,17500,JPY,MONTHLY,2026-09-04,2022-05-27,,ACTIVE
20,ACC000079,東京ガス,6009633,127500,JPY,MONTHLY,2026-09-10,2024-04-01,,ACTIVE
21,ACC000054,住宅ローン返済,5079032,138000,JPY,MONTHLY,2026-09-23,2024-04-27,,ACTIVE
22,ACC000163,さくら学園 授業料,4432179,40000,JPY,MONTHLY,2026-09-26,2022-05-01,2029-03-31,ACTIVE
23,ACC000104,さくら学園 授業料,8484777,110500,JPY,MONTHLY,2026-09-17,2025-05-27,,ACTIVE
24,ACC000024,日本生命保険,9569673,83500,JPY,MONTHLY,2026-10-01,2022-08-27,,ACTIVE
25,ACC000172,日本生命保険,3217275,148000,JPY,MONTHLY,2026-09-06,2018-02-27,,ACTIVE
26,ACC000156,NTTドコモ,3606955,44000,JPY,MONTHLY,2026-09-25,2020-11-27,,ACTIVE
27,ACC000069,スポーツクラブ会費,9641328,62500,JPY,MONTHLY,2026-09-05,2022-08-27,,ACTIVE
28,ACC000038,東京電力エナジーパートナー,2782089,56500,JPY,MONTHLY,2026-09-22,2019-01-01,,ACTIVE
29,ACC000103,NHK,2308577,78000,JPY,BIMONTHLY,2026-09-22,2025-11-01,2029-03-31,ACTIVE
30,ACC000158,さくら学園 授業料,5838849,112000,JPY,MONTHLY,2026-09-02,2019-03-01,,ACTIVE
31,ACC000065,NHK,5988774,130000,JPY,BIMONTHLY,2026-09-03,2020-11-01,,ACTIVE
32,ACC000014,さくら学園 授業料,5727937,98500,JPY,MONTHLY,2026-09-02,2023-08-01,,SUSPENDED
33,ACC000050,東京ガス,9685173,77000,JPY,MONTHLY,2026-10-01,2018-03-01,,ACTIVE
34,ACC000188,スポーツクラブ会費,9344544,60500,JPY,MONTHLY,2026-09-06,2024-09-27,,ACTIVE
35,ACC000040,ソフトバンク,3673439,169500,JPY,MONTHLY,2026-09-28,2020-08-01,,ACTIVE
36,ACC000116,さくら学園 授業料,9936831,37000,JPY,MONTHLY,2026-09-08,2025-03-01,2029-03-31,ACTIVE
37,ACC000108,東京電力エナジーパートナー,1962241,133500,JPY,MONTHLY,2026-09-22,2023-01-01,,ACTIVE
38,ACC000015,NHK,8219803,87000,JPY,BIMONTHLY,2026-10-01,2025-07-27,,ACTIVE
39,ACC000111,〇〇マンション管理組合,8174988,55500,JPY,MONTHLY,2026-09-17,2025-11-27,,ACTIVE
40,ACC000174,スポーツクラブ会費,1116888,113500,JPY,MONTHLY,2026-09-27,2019-02-01,,ACTIVE
