REPAYMENT_ID,LOAN_ID,INSTALLMENT_NO,DUE_DATE,PRINCIPAL_DUE,INTEREST_DUE,TOTAL_DUE,PAID_DATE,PAID_AMOUNT,STATUS
1,LOAN00001,1,2025-09-27,250582.0,7168.0,257750.0,,,OVERDUE
2,LOAN00001,2,2025-10-27,250582.0,7168.0,257750.0,,,OVERDUE
3,LOAN00001,3,2025-11-27,250582.0,7168.0,257750.0,,,OVERDUE
4,LOAN00001,4,2025-12-27,250582.0,7168.0,257750.0,,,OVERDUE
5,LOAN00001,5,2026-01-27,250582.0,7168.0,257750.0,,,OVERDUE
6,LOAN00002,1,2025-02-27,376870.0,12926.0,389796.0,2025-02-27,389796.0,PAID
7,LOAN00002,2,2025-03-27,376870.0,12926.0,389796.0,2025-03-27,389796.0,PAID
8,LOAN00002,3,2025-04-27,376870.0,12926.0,389796.0,2025-04-27,389796.0,PAID
9,LOAN00002,4,2025-05-27,376870.0,12926.0,389796.0,2025-05-27,389796.0,PAID
10,LOAN00002,5,2025-06-27,376870.0,12926.0,389796.0,2025-06-27,389796.0,PAID
11,LOAN00003,1,2025-10-27,547770.0,21127.0,568897.0,2025-10-27,568897.0,PAID
12,LOAN00003,2,2025-11-27,547770.0,21127.0,568897.0,2025-11-27,568897.0,PAID
13,LOAN00003,3,2025-12-27,547770.0,21127.0,568897.0,2025-12-27,568897.0,PAID
14,LOAN00003,4,2026-01-27,547770.0,21127.0,568897.0,2026-01-27,568897.0,PAID
15,LOAN00003,5,2026-02-27,547770.0,21127.0,568897.0,2026-02-27,568897.0,PAID
16,LOAN00004,1,2023-05-27,1079692.0,32283.0,1111975.0,2023-05-27,1111975.0,PAID
17,LOAN00004,2,2023-06-27,1079692.0,32283.0,1111975.0,2023-06-27,1111975.0,PAID
18,LOAN00004,3,2023-07-27,1079692.0,32283.0,1111975.0,2023-07-27,1111975.0,PAID
19,LOAN00004,4,2023-08-27,1079692.0,32283.0,1111975.0,2023-08-27,1111975.0,PAID
20,LOAN00004,5,2023-09-27,1079692.0,32283.0,1111975.0,2023-09-27,1111975.0,PAID
21,LOAN00005,1,2018-05-27,301049.0,17353.0,318402.0,,,OVERDUE
22,LOAN00005,2,2018-06-27,301049.0,17353.0,318402.0,,,OVERDUE
23,LOAN00005,3,2018-07-27,301049.0,17353.0,318402.0,,,OVERDUE
24,LOAN00005,4,2018-08-27,301049.0,17353.0,318402.0,,,OVERDUE
25,LOAN00005,5,2018-09-27,301049.0,17353.0,318402.0,,,OVERDUE
26,LOAN00006,1,2018-07-27,669512.0,51468.0,720980.0,2018-07-27,720980.0,PAID
27,LOAN00006,2,2018-08-27,669512.0,51468.0,720980.0,2018-08-27,720980.0,PAID
28,LOAN00006,3,2018-09-27,669512.0,51468.0,720980.0,2018-09-27,720980.0,PAID
29,LOAN00006,4,2018-10-27,669512.0,51468.0,720980.0,2018-10-27,720980.0,PAID
30,LOAN00006,5,2018-11-27,669512.0,51468.0,720980.0,2018-11-27,720980.0,PAID
31,LOAN00007,1,2026-04-27,130121.0,49875.0,179996.0,,,OVERDUE
32,LOAN00007,2,2026-05-27,130121.0,49875.0,179996.0,,,OVERDUE
33,LOAN00007,3,2026-06-27,130121.0,49875.0,179996.0,,,OVERDUE
34,LOAN00007,4,2026-07-27,130121.0,49875.0,179996.0,,,OVERDUE
35,LOAN00007,5,2026-08-27,130121.0,49875.0,179996.0,,,OVERDUE
36,LOAN00008,1,2015-09-27,135864.0,142497.0,278361.0,2015-09-27,278361.0,PAID
37,LOAN00008,2,2015-10-27,135864.0,142497.0,278361.0,2015-10-27,278361.0,PAID
38,LOAN00008,3,2015-11-27,135864.0,142497.0,278361.0,2015-11-27,278361.0,PAID
39,LOAN00008,4,2015-12-27,135864.0,142497.0,278361.0,2015-12-27,278361.0,PAID
40,LOAN00008,5,2016-01-27,135864.0,142497.0,278361.0,2016-01-27,278361.0,PAID
41,LOAN00009,1,2017-07-27,6022.0,3467.0,9489.0,2017-07-27,9489.0,PAID
42,LOAN00009,2,2017-08-27,6022.0,3467.0,9489.0,2017-08-27,9489.0,PAID
43,LOAN00009,3,2017-09-27,6022.0,3467.0,9489.0,2017-09-27,9489.0,PAID
44,LOAN00009,4,2017-10-27,6022.0,3467.0,9489.0,2017-10-27,9489.0,PAID
45,LOAN00009,5,2017-11-27,6022.0,3467.0,9489.0,2017-11-27,9489.0,PAID
46,LOAN00010,1,2026-11-27,36446.0,2107.0,38553.0,,,SCHEDULED
47,LOAN00010,2,2026-12-27,36446.0,2107.0,38553.0,,,SCHEDULED
48,LOAN00010,3,2027-01-27,36446.0,2107.0,38553.0,,,SCHEDULED
49,LOAN00010,4,2027-02-27,36446.0,2107.0,38553.0,,,SCHEDULED
50,LOAN00010,5,2027-03-27,36446.0,2107.0,38553.0,,,SCHEDULED
51,LOAN00011,1,2015-05-27,4794.0,1143.0,5937.0,2015-05-27,5937.0,PAID
52,LOAN00011,2,2015-06-27,4794.0,1143.0,5937.0,2015-06-27,5937.0,PAID
53,LOAN00011,3,2015-07-27,4794.0,1143.0,5937.0,2015-07-27,5937.0,PAID
54,LOAN00011,4,2015-08-27,4794.0,1143.0,5937.0,2015-08-27,5937.0,PAID
55,LOAN00011,5,2015-09-27,4794.0,1143.0,5937.0,2015-09-27,5937.0,PAID
56,LOAN00012,1,2020-05-27,1924.0,640.0,2564.0,2020-05-27,2564.0,PAID
57,LOAN00012,2,2020-06-27,1924.0,640.0,2564.0,2020-06-27,2564.0,PAID
58,LOAN00012,3,2020-07-27,1924.0,640.0,2564.0,2020-07-27,2564.0,PAID
59,LOAN00012,4,2020-08-27,1924.0,640.0,2564.0,2020-08-27,2564.0,PAID
60,LOAN00012,5,2020-09-27,1924.0,640.0,2564.0,2020-09-27,2564.0,PAID
61,LOAN00013,1,2019-04-27,49999.0,7080.0,57079.0,2019-04-27,57079.0,PAID
62,LOAN00013,2,2019-05-27,49999.0,7080.0,57079.0,2019-05-27,57079.0,PAID
63,LOAN00013,3,2019-06-27,49999.0,7080.0,57079.0,2019-06-27,57079.0,PAID
64,LOAN00013,4,2019-07-27,49999.0,7080.0,57079.0,2019-07-27,57079.0,PAID
65,LOAN00013,5,2019-08-27,49999.0,7080.0,57079.0,2019-08-27,57079.0,PAID
66,LOAN00014,1,2026-04-27,75000.0,10430.0,85430.0,2026-04-27,85430.0,PAID
67,LOAN00014,2,2026-05-27,75000.0,10430.0,85430.0,2026-05-27,85430.0,PAID
68,LOAN00014,3,2026-06-27,75000.0,10430.0,85430.0,2026-06-27,85430.0,PAID
69,LOAN00014,4,2026-07-27,75000.0,10430.0,85430.0,2026-07-27,85430.0,PAID
70,LOAN00014,5,2026-08-27,75000.0,10430.0,85430.0,2026-08-27,85430.0,PAID
71,LOAN00015,1,2015-09-27,268329.0,30560.0,298889.0,2015-09-27,298889.0,PAID
72,LOAN00015,2,2015-10-27,268329.0,30560.0,298889.0,2015-10-27,298889.0,PAID
73,LOAN00015,3,2015-11-27,268329.0,30560.0,298889.0,2015-11-27,298889.0,PAID
74,LOAN00015,4,2015-12-27,268329.0,30560.0,298889.0,2015-12-27,298889.0,PAID
75,LOAN00015,5,2016-01-27,268329.0,30560.0,298889.0,2016-01-27,298889.0,PAID
76,LOAN00016,1,2020-03-27,35675.0,11984.0,47659.0,2020-03-27,47659.0,PAID
77,LOAN00016,2,2020-04-27,35675.0,11984.0,47659.0,2020-04-27,47659.0,PAID
78,LOAN00016,3,2020-05-27,35675.0,11984.0,47659.0,2020-05-27,47659.0,PAID
79,LOAN00016,4,2020-06-27,35675.0,11984.0,47659.0,2020-06-27,47659.0,PAID
80,LOAN00016,5,2020-07-27,35675.0,11984.0,47659.0,2020-07-27,47659.0,PAID
81,LOAN00017,1,2020-09-27,25905.0,2809.0,28714.0,2020-09-27,28714.0,PAID
82,LOAN00017,2,2020-10-27,25905.0,2809.0,28714.0,2020-10-27,28714.0,PAID
83,LOAN00017,3,2020-11-27,25905.0,2809.0,28714.0,2020-11-27,28714.0,PAID
84,LOAN00017,4,2020-12-27,25905.0,2809.0,28714.0,2020-12-27,28714.0,PAID
85,LOAN00017,5,2021-01-27,25905.0,2809.0,28714.0,2021-01-27,28714.0,PAID
86,LOAN00018,1,2024-12-27,3470.0,6079.0,9549.0,2024-12-27,9549.0,PAID
87,LOAN00018,2,2025-01-27,3470.0,6079.0,9549.0,2025-01-27,9549.0,PAID
88,LOAN00018,3,2025-02-27,3470.0,6079.0,9549.0,2025-02-27,9549.0,PAID
89,LOAN00018,4,2025-03-27,3470.0,6079.0,9549.0,2025-03-27,9549.0,PAID
90,LOAN00018,5,2025-04-27,3470.0,6079.0,9549.0,2025-04-27,9549.0,PAID
91,LOAN00019,1,2016-07-27,2979.0,4610.0,7589.0,2016-07-27,7589.0,PAID
92,LOAN00019,2,2016-08-27,2979.0,4610.0,7589.0,2016-08-27,7589.0,PAID
93,LOAN00019,3,2016-09-27,2979.0,4610.0,7589.0,2016-09-27,7589.0,PAID
94,LOAN00019,4,2016-10-27,2979.0,4610.0,7589.0,2016-10-27,7589.0,PAID
95,LOAN00019,5,2016-11-27,2979.0,4610.0,7589.0,2016-11-27,7589.0,PAID
96,LOAN00020,1,2026-12-27,14407.0,3389.0,17796.0,,,SCHEDULED
97,LOAN00020,2,2027-01-27,14407.0,3389.0,17796.0,,,SCHEDULED
98,LOAN00020,3,2027-02-27,14407.0,3389.0,17796.0,,,SCHEDULED
99,LOAN00020,4,2027-03-27,14407.0,3389.0,17796.0,,,SCHEDULED
100,LOAN00020,5,2027-04-27,14407.0,3389.0,17796.0,,,SCHEDULED
101,LOAN00021,1,2020-11-27,7819.0,13143.0,20962.0,2020-11-27,20962.0,PAID
