RATE_ID,PRODUCT_ID,RATE_TYPE,RATE,EFFECTIVE_FROM,EFFECTIVE_TO
1,AP001,CREDIT,0.0,2024-04-01,2025-03-31
2,AP001,CREDIT,0.001,2025-04-01,2026-03-31
3,AP001,CREDIT,0.051,2026-04-01,
4,AP002,CREDIT,0.0,2024-04-01,2025-03-31
5,AP002,CREDIT,0.02,2025-04-01,2026-03-31
6,AP002,CREDIT,0.07,2026-04-01,
7,AP003,CREDIT,0.0,2024-04-01,2025-03-31
8,AP003,CREDIT,0.0,2025-04-01,2026-03-31
9,AP003,CREDIT,0.05,2026-04-01,
10,AP004,CREDIT,0.1,2024-04-01,2025-03-31
11,AP004,CREDIT,0.15,2025-04-01,2026-03-31
12,AP004,CREDIT,0.2,2026-04-01,
13,AP005,CREDIT,0.2,2024-04-01,2025-03-31
14,AP005,CREDIT,0.25,2025-04-01,2026-03-31
15,AP005,CREDIT,0.3,2026-04-01,
16,AP006,CREDIT,0.3,2024-04-01,2025-03-31
17,AP006,CREDIT,0.35,2025-04-01,2026-03-31
18,AP006,CREDIT,0.4,2026-04-01,
19,AP007,CREDIT,0.85,2024-04-01,2025-03-31
20,AP007,CREDIT,0.9,2025-04-01,2026-03-31
21,AP007,CREDIT,0.95,2026-04-01,
22,AP008,CREDIT,0.55,2024-04-01,2025-03-31
23,AP008,CREDIT,0.6,2025-04-01,2026-03-31
24,AP008,CREDIT,0.65,2026-04-01,
25,AP009,CREDIT,0.0,2024-04-01,2025-03-31
26,AP009,CREDIT,0.05,2025-04-01,2026-03-31
27,AP009,CREDIT,0.1,2026-04-01,
28,AP010,CREDIT,0.0,2024-04-01,2025-03-31
29,AP010,CREDIT,0.0,2025-04-01,2026-03-31
30,AP010,CREDIT,0.05,2026-04-01,
