HISTORY_ID,ACCOUNT_ID,AS_OF_DATE,OPENING_BALANCE,CLOSING_BALANCE,DEBIT_TOTAL,CREDIT_TOTAL,CURRENCY
1,ACC000001,2026-09-01,65815000,66287000,7000,479000,JPY
2,ACC000001,2026-08-01,65888000,65815000,118000,45000,JPY
3,ACC000001,2026-07-01,65573000,65888000,8000,323000,JPY
4,ACC000001,2026-06-01,65769000,65573000,330000,134000,JPY
5,ACC000002,2026-09-01,12364000,12121000,386000,143000,JPY
6,ACC000002,2026-08-01,12564000,12364000,247000,47000,JPY
7,ACC000002,2026-07-01,12612000,12564000,304000,256000,JPY
8,ACC000002,2026-06-01,12454000,12612000,147000,305000,JPY
9,ACC000003,2026-09-01,13121000,13100000,216000,195000,JPY
10,ACC000003,2026-08-01,12895000,13121000,24000,250000,JPY
11,ACC000003,2026-07-01,12931000,12895000,207000,171000,JPY
12,ACC000003,2026-06-01,13138000,12931000,318000,111000,JPY
13,ACC000004,2026-09-01,29297000,29365000,116000,184000,JPY
14,ACC000004,2026-08-01,29039000,29297000,101000,359000,JPY
15,ACC000004,2026-07-01,28892000,29039000,307000,454000,JPY
16,ACC000004,2026-06-01,29026000,28892000,300000,166000,JPY
17,ACC000005,2026-09-01,30057000,30161000,162000,266000,JPY
18,ACC000005,2026-08-01,29817000,30057000,259000,499000,JPY
19,ACC000005,2026-07-01,29742000,29817000,56000,131000,JPY
20,ACC000005,2026-06-01,29549000,29742000,265000,458000,JPY
21,ACC000006,2026-09-01,51743000,51711000,314000,282000,JPY
22,ACC000006,2026-08-01,51827000,51743000,94000,10000,JPY
23,ACC000006,2026-07-01,51808000,51827000,372000,391000,JPY
24,ACC000006,2026-06-01,51747000,51808000,239000,300000,JPY
25,ACC000007,2026-09-01,53318000,53404000,1000,87000,JPY
26,ACC000007,2026-08-01,53544000,53318000,329000,103000,JPY
27,ACC000007,2026-07-01,53427000,53544000,153000,270000,JPY
28,ACC000007,2026-06-01,53167000,53427000,20000,280000,JPY
29,ACC000008,2026-09-01,49629000,49572000,378000,321000,JPY
30,ACC000008,2026-08-01,49760000,49629000,232000,101000,JPY
31,ACC000008,2026-07-01,49741000,49760000,369000,388000,JPY
32,ACC000008,2026-06-01,49538000,49741000,80000,283000,JPY
33,ACC000009,2026-09-01,60071000,59995000,313000,237000,JPY
34,ACC000009,2026-08-01,59998000,60071000,142000,215000,JPY
35,ACC000009,2026-07-01,60308000,59998000,336000,26000,JPY
36,ACC000009,2026-06-01,60017000,60308000,171000,462000,JPY
37,ACC000010,2026-09-01,58360000,58760000,32000,432000,JPY
38,ACC000010,2026-08-01,58581000,58360000,266000,45000,JPY
39,ACC000010,2026-07-01,58453000,58581000,130000,258000,JPY
40,ACC000010,2026-06-01,58483000,58453000,85000,55000,JPY
41,ACC000011,2026-09-01,41338000,41402000,48000,112000,JPY
42,ACC000011,2026-08-01,41405000,41338000,133000,66000,JPY
43,ACC000011,2026-07-01,41341000,41405000,364000,428000,JPY
44,ACC000011,2026-06-01,41499000,41341000,226000,68000,JPY
45,ACC000012,2026-09-01,47978000,47953000,146000,121000,JPY
46,ACC000012,2026-08-01,47584000,47978000,87000,481000,JPY
47,ACC000012,2026-07-01,47545000,47584000,0,39000,JPY
48,ACC000012,2026-06-01,47437000,47545000,268000,376000,JPY
49,ACC000013,2026-09-01,10938000,11036000,287000,385000,JPY
50,ACC000013,2026-08-01,10963000,10938000,307000,282000,JPY
51,ACC000013,2026-07-01,10759000,10963000,156000,360000,JPY
52,ACC000013,2026-06-01,10920000,10759000,163000,2000,JPY
53,ACC000014,2026-09-01,11345000,11346000,141000,142000,JPY
54,ACC000014,2026-08-01,11321000,11345000,163000,187000,JPY
55,ACC000014,2026-07-01,11159000,11321000,185000,347000,JPY
56,ACC000014,2026-06-01,11214000,11159000,282000,227000,JPY
57,ACC000015,2026-09-01,51903.6,52835.07,424.35,1355.82,USD
58,ACC000015,2026-08-01,50460.61,51903.6,841.93,2284.92,USD
59,ACC000015,2026-07-01,49289.55,50460.61,878.94,2050.0,USD
60,ACC000015,2026-06-01,50151.58,49289.55,1325.86,463.83,USD
61,ACC000016,2026-09-01,4827000,4722000,150000,45000,JPY
62,ACC000016,2026-08-01,4841000,4827000,209000,195000,JPY
63,ACC000016,2026-07-01,4742000,4841000,80000,179000,JPY
64,ACC000016,2026-06-01,4327000,4742000,75000,490000,JPY
65,ACC000017,2026-09-01,370000,443000,121000,194000,JPY
66,ACC000017,2026-08-01,525000,370000,257000,102000,JPY
67,ACC000017,2026-07-01,421000,525000,118000,222000,JPY
68,ACC000017,2026-06-01,398000,421000,300000,323000,JPY
69,ACC000019,2026-09-01,10838000,11100000,83000,345000,JPY
70,ACC000019,2026-08-01,10741000,10838000,261000,358000,JPY
71,ACC000019,2026-07-01,10620000,10741000,124000,245000,JPY
72,ACC000019,2026-06-01,10638000,10620000,370000,352000,JPY
