COLLATERAL_ID,LOAN_ID,COLLATERAL_TYPE,DESCRIPTION,APPRAISED_VALUE,APPRAISAL_DATE,LTV_RATIO,STATUS
1,LOAN00001,SECURITIES,有価証券担保,7970000.0,2025-07-13,76.5,PLEDGED
2,LOAN00002,REAL_ESTATE,土地・建物 (第一順位抵当権),13980000.0,2024-10-24,65.8,PLEDGED
3,LOAN00003,SECURITIES,有価証券担保,16680000.0,2025-07-05,80.3,PLEDGED
4,LOAN00004,GUARANTEE,信用保証協会保証,38840000.0,2023-02-19,67.7,PLEDGED
5,LOAN00005,VEHICLE,車両 (所有権留保),44180000.0,2018-02-15,86.0,PLEDGED
6,LOAN00006,GUARANTEE,信用保証協会保証,138240000.0,2018-04-22,62.1,PLEDGED
7,LOAN00007,DEPOSIT,定期預金担保,119980000.0,2026-01-20,62.5,PLEDGED
8,LOAN00008,SECURITIES,有価証券担保,129800000.0,2015-06-08,75.9,PLEDGED
9,LOAN00012,GUARANTEE,信用保証協会保証,490000.0,2020-02-07,61.2,PLEDGED
10,LOAN00015,GUARANTEE,信用保証協会保証,47160000.0,2015-07-07,75.3,PLEDGED
11,LOAN00022,DEPOSIT,定期預金担保,84430000.0,2024-05-03,73.4,PLEDGED
12,LOAN00023,SECURITIES,有価証券担保,2870000.0,2015-02-19,62.7,PLEDGED
13,LOAN00024,GUARANTEE,信用保証協会保証,104720000.0,2015-02-14,85.6,PLEDGED
14,LOAN00027,GUARANTEE,信用保証協会保証,6290000.0,2024-11-09,55.6,PLEDGED
15,LOAN00028,REAL_ESTATE,土地・建物 (第一順位抵当権),138390000.0,2025-06-06,66.4,PLEDGED
16,LOAN00029,SECURITIES,有価証券担保,2260000.0,2026-01-09,75.2,PLEDGED
17,LOAN00030,SECURITIES,有価証券担保,4780000.0,2024-05-22,69.0,PLEDGED
18,LOAN00031,SECURITIES,有価証券担保,141290000.0,2015-07-07,63.8,PLEDGED
19,LOAN00037,SECURITIES,有価証券担保,157080000.0,2017-04-20,58.9,PLEDGED
20,LOAN00041,VEHICLE,車両 (所有権留保),12050000.0,2024-01-17,59.8,PLEDGED
21,LOAN00042,SECURITIES,有価証券担保,5610000.0,2021-06-22,83.8,PLEDGED
22,LOAN00043,VEHICLE,車両 (所有権留保),45170000.0,2023-09-28,59.1,PLEDGED
23,LOAN00044,VEHICLE,車両 (所有権留保),14640000.0,2021-06-04,60.1,PLEDGED
24,LOAN00046,REAL_ESTATE,土地・建物 (第一順位抵当権),50270000.0,2021-02-12,78.2,PLEDGED
25,LOAN00050,SECURITIES,有価証券担保,122120000.0,2015-09-17,71.7,PLEDGED
26,LOAN00051,DEPOSIT,定期預金担保,3650000.0,2020-07-02,84.9,PLEDGED
27,LOAN00054,DEPOSIT,定期預金担保,91360000.0,2019-06-26,84.7,PLEDGED
28,LOAN00055,GUARANTEE,信用保証協会保証,28970000.0,2018-11-01,61.8,PLEDGED
29,LOAN00056,VEHICLE,車両 (所有権留保),73650000.0,2022-07-12,74.3,PLEDGED
30,LOAN00058,VEHICLE,車両 (所有権留保),95970000.0,2015-09-09,87.1,PLEDGED
31,LOAN00059,DEPOSIT,定期預金担保,50090000.0,2019-03-07,74.9,PLEDGED
