PRODUCT_ID,PRODUCT_CODE,PRODUCT_NAME,PRODUCT_TYPE,CURRENCY,MIN_BALANCE,MONTHLY_FEE,BASE_RATE,TERM_MONTHS,DESCRIPTION
AP001,SAV-STD,総合口座 (普通預金),SAVINGS,JPY,0,0,0.001,,総合口座 (普通預金)。最低預入 0 JPY。
AP002,SAV-PLUS,スーパー普通預金,SAVINGS,JPY,100000,0,0.02,,"スーパー普通預金。最低預入 100,000 JPY。"
AP003,CHK-STD,当座預金,CHECKING,JPY,0,2200,0.0,,当座預金。最低預入 0 JPY。
AP004,TD-6M,スーパー定期 6ヶ月,TIME_DEPOSIT,JPY,100000,0,0.15,6,"スーパー定期 6ヶ月。満期 6ヶ月。最低預入 100,000 JPY。"
AP005,TD-1Y,スーパー定期 1年,TIME_DEPOSIT,JPY,100000,0,0.25,12,"スーパー定期 1年。満期 12ヶ月。最低預入 100,000 JPY。"
AP006,TD-3Y,スーパー定期 3年,TIME_DEPOSIT,JPY,300000,0,0.35,36,"スーパー定期 3年。満期 36ヶ月。最低預入 300,000 JPY。"
AP007,FX-USD,外貨普通預金 (米ドル),FOREIGN,USD,100,0,0.9,,外貨普通預金 (米ドル)。最低預入 100 USD。
AP008,FX-EUR,外貨普通預金 (ユーロ),FOREIGN,EUR,100,0,0.6,,外貨普通預金 (ユーロ)。最低預入 100 EUR。
AP009,SAV-JR,こども預金,SAVINGS,JPY,0,0,0.05,,こども預金。最低預入 0 JPY。
AP010,CHK-CORP,法人当座預金,CHECKING,JPY,500000,5500,0.0,,"法人当座預金。最低預入 500,000 JPY。"
