LOAN_ID,LOAN_NUMBER,CUSTOMER_ID,LOAN_PRODUCT_ID,BRANCH_ID,OFFICER_ID,PRINCIPAL_AMOUNT,OUTSTANDING_BALANCE,INTEREST_RATE,TERM_MONTHS,MONTHLY_PAYMENT,DISBURSED_DATE,MATURITY_DATE,DELINQUENCY_DAYS,STATUS
LOAN00001,L2026000,CUST00001,LP007,BR007,EMP0014,6100000,2795833.0,1.41,24,257750.0,2025-08-15,2027-08-15,61,DELINQUENT
LOAN00002,L2026013,CUST00004,LP007,BR003,EMP0015,9200000,1533333.0,1.686,24,389796.0,2025-01-15,2027-01-15,0,ACTIVE
LOAN00003,L2026026,CUST00007,LP008,BR003,EMP0007,13400000,6700000.0,1.892,24,568897.0,2025-09-15,2027-09-15,0,ACTIVE
LOAN00004,L2026039,CUST00010,LP008,BR001,EMP0015,26300000,0,1.473,24,1111975.0,2023-04-01,2025-04-01,95,PAID_OFF
LOAN00005,L2026052,CUST00013,LP002,BR003,EMP0001,38000000,6016667.0,0.548,120,318402.0,2018-04-01,2028-04-01,61,DELINQUENT
LOAN00006,L2026065,CUST00016,LP002,BR009,EMP0008,85900000,15032500.0,0.719,120,720980.0,2018-06-15,2028-06-15,15,ACTIVE
LOAN00007,L2026078,CUST00019,LP002,BR002,EMP0024,75000000,73928571.0,0.798,420,179996.0,2026-03-01,2061-03-01,32,DELINQUENT
LOAN00008,L2026091,CUST00022,LP001,BR009,EMP0006,98500000,62109722.0,1.736,360,278361.0,2015-08-15,2045-08-15,0,ACTIVE
LOAN00009,L2026104,CUST00025,LP005,BR009,EMP0040,300000,0,13.87,36,9489.0,2017-06-15,2020-06-15,0,PAID_OFF
LOAN00010,L2026117,CUST00028,LP004,BR010,EMP0018,900000,900000.0,2.809,24,38553.0,2026-10-01,2028-10-01,0,ACTIVE
LOAN00011,L2026130,CUST00031,LP006,BR008,EMP0011,200000,0,6.859,36,5937.0,2015-04-15,2018-04-15,0,PAID_OFF
LOAN00012,L2026143,CUST00034,LP003,BR004,EMP0030,300000,107500.0,2.561,120,2564.0,2020-04-01,2030-04-01,0,ACTIVE
LOAN00013,L2026156,CUST00037,LP005,BR011,EMP0009,600000,0,14.159,12,57079.0,2019-03-15,2020-03-15,61,PAID_OFF
LOAN00014,L2026169,CUST00040,LP005,BR010,EMP0028,900000,450000.0,13.907,12,85430.0,2026-03-01,2027-03-01,0,ACTIVE
LOAN00015,L2026182,CUST00043,LP002,BR009,EMP0028,35500000,0,1.033,120,298889.0,2015-08-15,2025-08-15,0,PAID_OFF
LOAN00016,L2026195,CUST00046,LP005,BR010,EMP0015,1000000,0,14.381,24,47659.0,2020-02-15,2022-02-15,0,PAID_OFF
LOAN00017,L2026208,CUST00049,LP004,BR008,EMP0040,1000000,0,3.371,36,28714.0,2020-08-15,2023-08-15,0,PAID_OFF
LOAN00018,L2026221,CUST00052,LP005,BR010,EMP0001,500000,316667.0,14.59,60,9549.0,2024-11-15,2029-11-15,0,ACTIVE
LOAN00019,L2026234,CUST00055,LP005,BR009,EMP0037,400000,0,13.83,60,7589.0,2016-06-01,2021-06-01,0,PAID_OFF
LOAN00020,L2026247,CUST00058,LP006,BR004,EMP0039,600000,600000.0,6.778,36,17796.0,2026-11-01,2029-11-01,32,DELINQUENT
LOAN00021,L2026260,CUST00061,LP005,BR009,EMP0024,1100000,0,14.338,60,20962.0,2020-10-01,2025-10-01,0,PAID_OFF
LOAN00022,L2026273,CUST00064,LP002,BR011,EMP0007,62000000,54766667.0,0.772,240,260328.0,2024-05-15,2044-05-15,0,ACTIVE
LOAN00023,L2026286,CUST00067,LP003,BR008,EMP0023,1800000,0,2.474,12,153711.0,2015-03-01,2016-03-01,0,PAID_OFF
LOAN00024,L2026299,CUST00070,LP001,BR012,EMP0013,89600000,60586667.0,2.113,420,217841.0,2015-05-15,2050-05-15,95,DELINQUENT
LOAN00025,L2026312,CUST00073,LP006,BR008,EMP0034,1100000,0,6.624,84,13963.0,2017-01-15,2024-01-15,0,PAID_OFF
LOAN00026,L2026325,CUST00076,LP006,BR010,EMP0036,800000,628571.0,6.739,84,10166.0,2025-03-01,2032-03-01,0,ACTIVE
LOAN00027,L2026338,CUST00079,LP003,BR007,EMP0020,3500000,1555556.0,2.625,36,99774.0,2025-01-15,2028-01-15,0,ACTIVE
LOAN00028,L2026351,CUST00082,LP002,BR001,EMP0018,91900000,88836667.0,0.386,420,219654.0,2025-07-01,2060-07-01,0,ACTIVE
LOAN00029,L2026364,CUST00085,LP003,BR010,EMP0032,1700000,1600833.0,2.542,120,14527.0,2026-02-15,2036-02-15,61,DELINQUENT
LOAN00030,L2026377,CUST00088,LP003,BR010,EMP0035,3300000,0,2.754,24,141287.0,2024-07-01,2026-07-01,0,PAID_OFF
LOAN00031,L2026390,CUST00091,LP001,BR004,EMP0017,90100000,57313611.0,2.413,360,256317.0,2015-10-01,2045-10-01,0,ACTIVE
LOAN00032,L2026403,CUST00094,LP006,BR003,EMP0040,300000,214286.0,6.907,84,3818.0,2024-09-15,2031-09-15,0,ACTIVE
LOAN00033,L2026416,CUST00097,LP006,BR005,EMP0024,900000,0,6.714,84,11434.0,2017-05-15,2024-05-15,61,PAID_OFF
LOAN00034,L2026429,CUST00100,LP006,BR009,EMP0028,500000,0,7.152,36,14882.0,2016-10-01,2019-10-01,0,PAID_OFF
LOAN00035,L2026442,CUST00103,LP004,BR012,EMP0040,700000,0,3.373,60,12060.0,2021-06-15,2026-06-15,0,PAID_OFF
LOAN00036,L2026455,CUST00107,LP004,BR008,EMP0008,600000,0,3.413,36,17236.0,2022-05-01,2025-05-01,0,PAID_OFF
LOAN00037,L2026468,CUST00110,LP002,BR010,EMP0027,92500000,68053571.0,0.371,420,221055.0,2017-06-01,2052-06-01,0,ACTIVE
LOAN00038,L2026481,CUST00113,LP005,BR004,EMP0039,800000,0,14.214,36,25381.0,2022-01-01,2025-01-01,95,PAID_OFF
LOAN00039,L2026494,CUST00116,LP005,BR007,EMP0007,500000,0,14.301,24,23813.0,2015-11-01,2017-11-01,0,PAID_OFF
LOAN00040,L2026507,CUST00119,LP004,BR012,EMP0027,1100000,0,2.789,24,47112.0,2021-03-15,2023-03-15,0,PAID_OFF
LOAN00041,L2026520,CUST00002,LP007,BR005,EMP0031,7200000,1000000.0,2.179,36,204358.0,2024-02-15,2027-02-15,32,DELINQUENT
LOAN00042,L2026533,CUST00005,LP007,BR005,EMP0028,4700000,0,2.016,12,399563.0,2021-09-15,2022-09-15,0,PAID_OFF
LOAN00043,L2026546,CUST00008,LP008,BR012,EMP0012,26700000,0,1.664,24,1131012.0,2023-11-15,2025-11-15,0,PAID_OFF
LOAN00044,L2026559,CUST00011,LP007,BR001,EMP0014,8800000,0,1.711,36,248627.0,2021-06-15,2024-06-15,0,PAID_OFF
LOAN00045,L2026572,CUST00014,LP006,BR006,EMP0014,500000,0,6.904,36,14848.0,2023-04-15,2026-04-15,0,PAID_OFF
LOAN00046,L2026585,CUST00017,LP002,BR012,EMP0037,39300000,32095000.0,0.802,360,110042.0,2021-03-01,2051-03-01,0,ACTIVE
LOAN00047,L2026598,CUST00020,LP004,BR003,EMP0037,500000,0,3.021,12,42925.0,2020-07-01,2021-07-01,0,PAID_OFF
LOAN00048,L2026611,CUST00023,LP006,BR007,EMP0028,1000000,0,7.172,36,29770.0,2016-07-15,2019-07-15,0,PAID_OFF
LOAN00049,L2026624,CUST00026,LP005,BR003,EMP0033,900000,0,14.203,60,17130.0,2016-01-01,2021-01-01,0,PAID_OFF
LOAN00050,L2026637,CUST00029,LP002,BR006,EMP0040,87600000,40515000.0,0.872,240,368183.0,2015-12-15,2035-12-15,0,ACTIVE
LOAN00051,L2026650,CUST00032,LP003,BR004,EMP0037,3100000,0,2.785,12,265528.0,2020-09-15,2021-09-15,0,PAID_OFF
LOAN00052,L2026663,CUST00035,LP004,BR004,EMP0019,600000,0,3.372,36,17229.0,2017-12-15,2020-12-15,0,PAID_OFF
LOAN00053,L2026676,CUST00038,LP006,BR010,EMP0005,300000,0,7.025,24,13378.0,2022-06-15,2024-06-15,0,PAID_OFF
LOAN00054,L2026689,CUST00041,LP001,BR001,EMP0031,77400000,50310000.0,1.887,240,328586.0,2019-09-15,2039-09-15,0,ACTIVE
LOAN00055,L2026702,CUST00044,LP001,BR002,EMP0027,17900000,10889167.0,2.194,240,76220.0,2018-11-15,2038-11-15,0,ACTIVE
LOAN00056,L2026715,CUST00047,LP001,BR004,EMP0029,54700000,48448571.0,1.835,420,132628.0,2022-09-01,2057-09-01,0,ACTIVE
LOAN00057,L2026728,CUST00050,LP004,BR001,EMP0025,1100000,1100000.0,2.961,36,31460.0,2026-11-01,2029-11-01,0,ACTIVE
LOAN00058,L2026741,CUST00053,LP001,BR003,EMP0010,83600000,53178889.0,2.041,360,236962.0,2015-10-01,2045-10-01,0,ACTIVE
LOAN00059,L2026754,CUST00056,LP001,BR009,EMP0006,37500000,28333333.0,2.35,360,106615.0,2019-05-15,2049-05-15,0,ACTIVE
LOAN00060,L2026767,CUST00059,LP006,BR007,EMP0009,300000,250000.0,6.953,84,3820.0,2025-07-15,2032-07-15,0,ACTIVE
