ALERT_ID,ALERT_NUMBER,CUSTOMER_ID,TRANSACTION_ID,ALERT_DATE,RULE_CODE,RULE_NAME,SEVERITY,STATUS,ASSIGNED_TO,RESOLUTION,CLOSED_DATE
1,AML-2026-0001,CUST00007,317,2026-08-07,R006,制裁リスト名寄せヒット (要確認),CRITICAL,OPEN,EMP0028,,
2,AML-2026-0002,CUST00105,492,2026-08-15,R003,口座開設直後の大口取引,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0005,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-09-09
3,AML-2026-0003,CUST00001,1,2026-08-21,R007,休眠口座の突然の再開,LOW,CLOSED_FALSE_POSITIVE,EMP0035,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-08-25
4,AML-2026-0004,CUST00059,252,2026-03-12,R003,口座開設直後の大口取引,MEDIUM,OPEN,EMP0005,,
5,AML-2026-0005,CUST00058,251,2026-06-18,R001,短期間の多額入出金 (Structuring),HIGH,CLOSED_FALSE_POSITIVE,EMP0028,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-07-01
6,AML-2026-0006,CUST00011,596,2026-03-14,R005,現金取引のしきい値超過,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0040,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-03-22
7,AML-2026-0007,CUST00064,62,2026-05-04,R002,高リスク国向け送金,HIGH,OPEN,EMP0032,,
8,AML-2026-0008,CUST00069,262,2026-06-15,R007,休眠口座の突然の再開,LOW,CLOSED_FALSE_POSITIVE,EMP0011,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-07-12
9,AML-2026-0009,CUST00111,107,2026-05-17,R007,休眠口座の突然の再開,LOW,CLOSED_FALSE_POSITIVE,EMP0035,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-06-07
10,AML-2026-0010,CUST00014,599,2026-03-10,R001,短期間の多額入出金 (Structuring),HIGH,OPEN,EMP0012,,
11,AML-2026-0011,CUST00014,599,2026-03-10,R005,現金取引のしきい値超過,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0016,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-03-14
12,AML-2026-0012,CUST00013,323,2026-06-19,R005,現金取引のしきい値超過,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0037,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-06-30
13,AML-2026-0013,CUST00020,525,2026-06-15,R002,高リスク国向け送金,HIGH,OPEN,EMP0002,,
14,AML-2026-0014,CUST00048,241,2026-05-05,R001,短期間の多額入出金 (Structuring),HIGH,CLOSED_FALSE_POSITIVE,EMP0024,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-06-04
15,AML-2026-0015,CUST00061,254,2026-05-01,R004,通常取引パターンからの逸脱,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0032,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-05-10
16,AML-2026-0016,CUST00067,571,2026-05-26,R004,通常取引パターンからの逸脱,MEDIUM,OPEN,EMP0009,,
17,AML-2026-0017,CUST00050,243,2026-06-16,R004,通常取引パターンからの逸脱,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0010,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-06-24
18,AML-2026-0018,CUST00048,46,2026-06-14,R006,制裁リスト名寄せヒット (要確認),CRITICAL,CLOSED_FALSE_POSITIVE,EMP0001,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-07-11
19,AML-2026-0019,CUST00036,541,2026-06-18,R004,通常取引パターンからの逸脱,MEDIUM,OPEN,EMP0026,,
20,AML-2026-0020,CUST00071,459,2026-06-11,R007,休眠口座の突然の再開,LOW,CLOSED_FALSE_POSITIVE,EMP0024,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-06-29
21,AML-2026-0021,CUST00078,76,2026-07-07,R003,口座開設直後の大口取引,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0040,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-07-10
22,AML-2026-0022,CUST00085,473,2026-06-24,R004,通常取引パターンからの逸脱,MEDIUM,OPEN,EMP0031,,
23,AML-2026-0023,CUST00049,437,2026-05-24,R003,口座開設直後の大口取引,MEDIUM,CLOSED_FALSE_POSITIVE,EMP0008,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-06-20
24,AML-2026-0024,CUST00044,159,2026-03-20,R001,短期間の多額入出金 (Structuring),HIGH,CLOSED_FALSE_POSITIVE,EMP0011,調査の結果、通常の事業取引と確認。継続モニタリング対象。,2026-04-01
25,AML-2026-0025,CUST00005,120,2026-06-29,R001,短期間の多額入出金 (Structuring),HIGH,OPEN,EMP0036,,
