AUTH_ID,CARD_ID,MERCHANT_ID,AUTH_DATE,AMOUNT,CURRENCY,AUTH_CODE,RESULT,DECLINE_REASON,IS_SETTLED
1,CARD000001,MER0028,2026-05-13,247100,JPY,234730,DECLINED,暗証番号相違,0
2,CARD000002,MER0023,2026-08-22,190900,JPY,302285,APPROVED,,1
3,CARD000003,MER0017,2026-06-03,85600,JPY,555631,APPROVED,,1
4,CARD000004,MER0026,2026-06-24,67800,JPY,104990,APPROVED,,1
5,CARD000006,MER0024,2026-08-20,53200,JPY,528633,APPROVED,,0
6,CARD000007,MER0010,2026-08-21,183800,JPY,623914,APPROVED,,0
7,CARD000008,MER0001,2026-06-22,151100,JPY,247773,APPROVED,,1
8,CARD000009,MER0021,2026-05-08,196500,JPY,874681,APPROVED,,1
9,CARD000010,MER0016,2026-07-05,130400,JPY,982367,APPROVED,,1
10,CARD000011,MER0011,2026-06-19,23400,JPY,599252,APPROVED,,1
11,CARD000012,MER0003,2026-05-18,225700,JPY,948311,APPROVED,,1
12,CARD000013,MER0001,2026-07-31,164400,JPY,478370,APPROVED,,1
13,CARD000014,MER0027,2026-06-25,19100,JPY,424776,APPROVED,,1
14,CARD000015,MER0007,2026-08-25,112800,JPY,139575,APPROVED,,1
15,CARD000016,MER0009,2026-07-02,12100,JPY,278399,APPROVED,,1
16,CARD000017,MER0026,2026-05-25,240100,JPY,701146,APPROVED,,1
17,CARD000018,MER0011,2026-05-11,177200,JPY,655397,APPROVED,,1
18,CARD000019,MER0008,2026-06-22,240700,JPY,393425,APPROVED,,1
19,CARD000020,MER0025,2026-07-25,192900,JPY,625449,APPROVED,,1
20,CARD000021,MER0007,2026-08-01,241300,JPY,225810,APPROVED,,0
21,CARD000022,MER0012,2026-05-17,116700,JPY,629214,APPROVED,,1
22,CARD000023,MER0021,2026-08-27,224000,JPY,124877,APPROVED,,1
23,CARD000025,MER0024,2026-05-23,184000,JPY,572367,APPROVED,,0
24,CARD000026,MER0010,2026-08-04,113800,JPY,281906,DECLINED,暗証番号相違,0
25,CARD000027,MER0020,2026-05-17,213100,JPY,249332,APPROVED,,0
26,CARD000028,MER0006,2026-05-14,26800,JPY,625438,APPROVED,,1
27,CARD000029,MER0023,2026-08-11,211400,JPY,421934,APPROVED,,1
28,CARD000030,MER0021,2026-05-23,63500,JPY,586789,APPROVED,,1
29,CARD000031,MER0015,2026-05-14,41400,JPY,338567,APPROVED,,1
30,CARD000032,MER0016,2026-07-16,184600,JPY,269618,APPROVED,,1
31,CARD000033,MER0018,2026-06-27,32700,JPY,375136,APPROVED,,0
32,CARD000034,MER0029,2026-06-08,43400,JPY,913249,APPROVED,,1
33,CARD000035,MER0024,2026-06-16,57700,JPY,360525,APPROVED,,1
34,CARD000036,MER0018,2026-05-19,18400,JPY,882233,APPROVED,,0
35,CARD000037,MER0012,2026-08-20,214400,JPY,604994,APPROVED,,0
36,CARD000038,MER0029,2026-05-26,95300,JPY,436004,APPROVED,,1
37,CARD000039,MER0030,2026-05-22,170100,JPY,186736,APPROVED,,1
38,CARD000040,MER0008,2026-09-01,170100,JPY,473149,APPROVED,,0
39,CARD000041,MER0027,2026-07-21,211900,JPY,261297,APPROVED,,1
40,CARD000042,MER0028,2026-05-08,210900,JPY,509586,APPROVED,,1
41,CARD000043,MER0029,2026-05-26,53100,JPY,624008,APPROVED,,1
42,CARD000044,MER0006,2026-07-19,72800,JPY,749648,APPROVED,,1
43,CARD000045,MER0027,2026-07-04,33600,JPY,959246,APPROVED,,0
44,CARD000046,MER0010,2026-08-02,13300,JPY,798609,APPROVED,,1
45,CARD000047,MER0014,2026-08-13,148500,JPY,605112,APPROVED,,1
46,CARD000048,MER0027,2026-06-29,119200,JPY,118347,APPROVED,,1
47,CARD000049,MER0021,2026-08-28,180900,JPY,641998,DECLINED,暗証番号相違,0
48,CARD000050,MER0012,2026-09-01,201500,JPY,498858,APPROVED,,1
49,CARD000051,MER0013,2026-08-21,6500,JPY,159346,APPROVED,,1
50,CARD000052,MER0012,2026-08-20,4100,JPY,123390,APPROVED,,1
51,CARD000053,MER0011,2026-06-27,126300,JPY,119921,APPROVED,,1
52,CARD000054,MER0002,2026-06-30,136900,JPY,788998,APPROVED,,1
53,CARD000055,MER0030,2026-06-16,32500,JPY,687928,APPROVED,,1
54,CARD000056,MER0029,2026-05-17,219900,JPY,243887,APPROVED,,0
55,CARD000057,MER0005,2026-07-17,28800,JPY,603709,APPROVED,,1
56,CARD000058,MER0016,2026-05-25,189100,JPY,989012,APPROVED,,1
57,CARD000059,MER0030,2026-06-30,3500,JPY,134399,APPROVED,,0
58,CARD000060,MER0001,2026-07-25,163400,JPY,782644,APPROVED,,1
59,CARD000061,MER0027,2026-07-03,67300,JPY,186130,APPROVED,,1
60,CARD000063,MER0029,2026-08-26,52000,JPY,202041,APPROVED,,1
61,CARD000064,MER0004,2026-08-28,188000,JPY,572553,APPROVED,,0
62,CARD000065,MER0030,2026-08-12,55500,JPY,399018,APPROVED,,0
63,CARD000066,MER0015,2026-08-08,226500,JPY,965621,APPROVED,,1
64,CARD000067,MER0009,2026-06-07,96400,JPY,242469,APPROVED,,1
65,CARD000068,MER0027,2026-08-06,136500,JPY,894689,APPROVED,,1
66,CARD000069,MER0025,2026-08-09,218000,JPY,118240,APPROVED,,1
67,CARD000070,MER0001,2026-06-09,58300,JPY,127995,APPROVED,,1
