TRANSACTION_ID,TRANSACTION_REF,ACCOUNT_ID,TRANSACTION_DATE,VALUE_DATE,TRANSACTION_TYPE,CHANNEL,AMOUNT,CURRENCY,BALANCE_AFTER,DESCRIPTION,COUNTERPARTY_NAME,MERCHANT_ID,STATUS,POSTED_BY
1,TX20260821000001,ACC000001,2026-08-21,2026-08-21,CARD_PAYMENT,ONLINE,275000,JPY,66012000,カード決済,,MER0010,POSTED,
2,TX20260413000002,ACC000002,2026-04-13,2026-04-14,TRANSFER_OUT,MOBILE,159000,JPY,11962000,振込出金,阿部 花子,,POSTED,EMP0001
3,TX20260719000003,ACC000003,2026-07-19,2026-07-19,TRANSFER_IN,ATM,329000,JPY,13429000,振込入金,石川 太郎,,POSTED,
4,TX20260728000004,ACC000004,2026-07-28,2026-07-28,CARD_PAYMENT,BRANCH,524000,JPY,28841000,カード決済,,MER0026,POSTED,
5,TX20260802000005,ACC000005,2026-08-02,2026-08-02,INTEREST,BRANCH,3016.0,JPY,30164016.0,利息,,,POSTED,
6,TX20260820000006,ACC000006,2026-08-20,2026-08-20,TRANSFER_IN,BRANCH,777000,JPY,52488000,振込入金,林 愛,,POSTED,
7,TX20260711000007,ACC000007,2026-07-11,2026-07-11,WITHDRAWAL,MOBILE,855000,JPY,52549000,出金,,,POSTED,
8,TX20260326000008,ACC000008,2026-03-26,2026-03-26,CARD_PAYMENT,BRANCH,256000,JPY,49316000,カード決済,,MER0022,POSTED,
9,TX20260803000009,ACC000009,2026-08-03,2026-08-03,DEPOSIT,ONLINE,523000,JPY,60518000,入金,,,POSTED,
10,TX20260727000010,ACC000010,2026-07-27,2026-07-27,CARD_PAYMENT,MOBILE,455000,JPY,58305000,カード決済,,MER0004,POSTED,
11,TX20260817000011,ACC000011,2026-08-17,2026-08-17,TRANSFER_IN,MOBILE,397000,JPY,41799000,振込入金,清水 裕子,,POSTED,
12,TX20260603000012,ACC000012,2026-06-03,2026-06-04,TRANSFER_OUT,BRANCH,363000,JPY,47590000,振込出金,鈴木 太郎,,POSTED,
13,TX20260329000013,ACC000013,2026-03-29,2026-03-29,INTEREST,BRANCH,1104.0,JPY,11037104.0,利息,,,POSTED,
14,TX20260404000014,ACC000014,2026-04-04,2026-04-04,FEE,ONLINE,110,JPY,11345890,手数料,,,POSTED,
15,TX20260322000015,ACC000015,2026-03-22,2026-03-22,DEPOSIT,ONLINE,31.44,USD,52866.51,入金,,,POSTED,
16,TX20260316000016,ACC000016,2026-03-16,2026-03-16,TRANSFER_IN,ONLINE,84000,JPY,4806000,振込入金,中村 陽子,,POSTED,
17,TX20260503000017,ACC000017,2026-05-03,2026-05-04,TRANSFER_OUT,MOBILE,653000,JPY,-210000,振込出金,中村 悠斗,,POSTED,
18,TX20260607000018,ACC000019,2026-06-07,2026-06-07,TRANSFER_IN,MOBILE,722000,JPY,11822000,振込入金,橋本 太郎,,POSTED,
19,TX20260721000019,ACC000020,2026-07-21,2026-07-22,TRANSFER_OUT,ONLINE,100000,JPY,11395000,振込出金,山口 由美,,POSTED,EMP0032
20,TX20260418000020,ACC000021,2026-04-18,2026-04-18,TRANSFER_IN,ONLINE,417000,JPY,11066000,振込入金,伊藤 裕子,,POSTED,
21,TX20260825000021,ACC000022,2026-08-25,2026-08-25,TRANSFER_IN,ONLINE,767000,JPY,12312000,振込入金,加藤 大輔,,POSTED,
22,TX20260305000022,ACC000023,2026-03-05,2026-03-05,FEE,MOBILE,220,JPY,1843780,手数料,,,POSTED,
23,TX20260807000023,ACC000024,2026-08-07,2026-08-07,TRANSFER_IN,ONLINE,334.13,USD,19033.47,振込入金,木村 直樹,,POSTED,EMP0030
24,TX20260721000024,ACC000025,2026-07-21,2026-07-21,FEE,MOBILE,110,JPY,2566890,手数料,,,POSTED,
25,TX20260603000025,ACC000026,2026-06-03,2026-06-03,FEE,MOBILE,330,JPY,6550670,手数料,,,POSTED,
26,TX20260402000026,ACC000027,2026-04-02,2026-04-02,DEPOSIT,BRANCH,147000,JPY,6637000,入金,,,POSTED,
27,TX20260308000027,ACC000028,2026-03-08,2026-03-08,FEE,MOBILE,220,JPY,11642780,手数料,,,POSTED,
28,TX20260827000028,ACC000029,2026-08-27,2026-08-27,TRANSFER_IN,MOBILE,1377.11,USD,47472.68,振込入金,鈴木 彩,,POSTED,
29,TX20260422000029,ACC000030,2026-04-22,2026-04-22,INTEREST,ONLINE,130.0,JPY,1304130.0,利息,,,POSTED,
30,TX20260705000030,ACC000031,2026-07-05,2026-07-05,WITHDRAWAL,MOBILE,1603.04,USD,5898.92,出金,,,POSTED,
31,TX20260718000031,ACC000032,2026-07-18,2026-07-18,TRANSFER_IN,MOBILE,432000,JPY,8517000,振込入金,後藤 恵子,,POSTED,
32,TX20260306000032,ACC000033,2026-03-06,2026-03-06,CARD_PAYMENT,BRANCH,305000,JPY,8871000,カード決済,,MER0021,POSTED,
33,TX20260427000033,ACC000034,2026-04-27,2026-04-27,TRANSFER_IN,BRANCH,351000,JPY,5261000,振込入金,渡辺 悠斗,,POSTED,
34,TX20260718000034,ACC000035,2026-07-18,2026-07-18,CARD_PAYMENT,BRANCH,399000,JPY,2947000,カード決済,,MER0013,POSTED,
35,TX20260731000035,ACC000036,2026-07-31,2026-07-31,WITHDRAWAL,ONLINE,161000,JPY,9791000,出金,,,POSTED,EMP0013
36,TX20260702000036,ACC000037,2026-07-02,2026-07-02,WITHDRAWAL,MOBILE,523000,JPY,1920000,出金,,,POSTED,
37,TX20260518000037,ACC000038,2026-05-18,2026-05-18,INTEREST,ATM,533.0,JPY,5332533.0,利息,,,POSTED,
38,TX20260901000038,ACC000039,2026-09-01,2026-09-01,INTEREST,MOBILE,5.0,USD,47200.17,利息,,,POSTED,
39,TX20260430000039,ACC000040,2026-04-30,2026-04-30,CARD_PAYMENT,MOBILE,627000,JPY,-61000,カード決済,,MER0010,POSTED,
40,TX20260831000040,ACC000042,2026-08-31,2026-08-31,WITHDRAWAL,ATM,159000,JPY,2644000,出金,,,POSTED,
41,TX20260512000041,ACC000043,2026-05-12,2026-05-13,TRANSFER_OUT,ATM,899000,JPY,1090000,振込出金,田中 彩,,POSTED,
42,TX20260806000042,ACC000044,2026-08-06,2026-08-06,INTEREST,BRANCH,924.0,JPY,9244924.0,利息,,,POSTED,
43,TX20260604000043,ACC000045,2026-06-04,2026-06-04,CARD_PAYMENT,ONLINE,428000,JPY,6983000,カード決済,,MER0004,POSTED,EMP0009
44,TX20260329000044,ACC000046,2026-03-29,2026-03-29,WITHDRAWAL,ATM,606000,JPY,10435000,出金,,,POSTED,
45,TX20260524000045,ACC000047,2026-05-24,2026-05-24,CARD_PAYMENT,ATM,96000,JPY,5902000,カード決済,,MER0001,POSTED,
46,TX20260614000046,ACC000048,2026-06-14,2026-06-14,INTEREST,BRANCH,386.0,JPY,3858386.0,利息,,,POSTED,
47,TX20260528000047,ACC000049,2026-05-28,2026-05-28,INTEREST,ONLINE,390.0,JPY,3901390.0,利息,,,POSTED,
48,TX20260710000048,ACC000050,2026-07-10,2026-07-10,CARD_PAYMENT,BRANCH,534000,JPY,471000,カード決済,,MER0022,POSTED,
49,TX20260708000049,ACC000051,2026-07-08,2026-07-08,INTEREST,ONLINE,978.0,JPY,9779978.0,利息,,,POSTED,
50,TX20260815000050,ACC000052,2026-08-15,2026-08-15,INTEREST,MOBILE,910.0,JPY,9098910.0,利息,,,POSTED,
51,TX20260606000051,ACC000053,2026-06-06,2026-06-06,CARD_PAYMENT,MOBILE,172000,JPY,1738000,カード決済,,MER0006,POSTED,
52,TX20260803000052,ACC000054,2026-08-03,2026-08-03,CARD_PAYMENT,MOBILE,347000,JPY,8371000,カード決済,,MER0018,POSTED,
53,TX20260327000053,ACC000055,2026-03-27,2026-03-27,FEE,MOBILE,110,USD,18174.28,手数料,,,POSTED,
54,TX20260309000054,ACC000056,2026-03-09,2026-03-09,FEE,ONLINE,110,JPY,10703890,手数料,,,POSTED,
55,TX20260512000055,ACC000057,2026-05-12,2026-05-12,TRANSFER_IN,ATM,34000,JPY,7265000,振込入金,池田 彩,,POSTED,EMP0021
56,TX20260422000056,ACC000058,2026-04-22,2026-04-23,TRANSFER_OUT,ONLINE,432000,JPY,10216000,振込出金,木村 直樹,,POSTED,
57,TX20260409000057,ACC000059,2026-04-09,2026-04-09,CARD_PAYMENT,BRANCH,58000,JPY,383000,カード決済,,MER0020,POSTED,
58,TX20260714000058,ACC000060,2026-07-14,2026-07-14,WITHDRAWAL,BRANCH,284000,JPY,10434000,出金,,,POSTED,
59,TX20260717000059,ACC000061,2026-07-17,2026-07-17,TRANSFER_IN,MOBILE,897000,JPY,5152000,振込入金,井上 花子,,POSTED,
60,TX20260407000060,ACC000062,2026-04-07,2026-04-08,TRANSFER_OUT,ATM,735000,JPY,4153000,振込出金,小川 彩,,POSTED,EMP0020
61,TX20260614000061,ACC000063,2026-06-14,2026-06-14,DEPOSIT,MOBILE,543000,JPY,10530000,入金,,,POSTED,
62,TX20260504000062,ACC000064,2026-05-04,2026-05-04,DEPOSIT,MOBILE,74000,JPY,5175000,入金,,,POSTED,
63,TX20260307000063,ACC000065,2026-03-07,2026-03-07,CARD_PAYMENT,ONLINE,81000,JPY,2313000,カード決済,,MER0022,POSTED,
64,TX20260502000064,ACC000066,2026-05-02,2026-05-02,INTEREST,MOBILE,928.0,JPY,9281928.0,利息,,,POSTED,
