EXPOSURE_ID,CUSTOMER_ID,AS_OF_DATE,EXPOSURE_TYPE,EXPOSURE_AMOUNT,LIMIT_AMOUNT,UTILIZATION_PCT,CURRENCY
1,CUST00001,2026-08-31,LOAN,2795833.0,4700000.0,59.5,JPY
2,CUST00004,2026-08-31,LOAN,1533333.0,1900000.0,80.7,JPY
3,CUST00007,2026-08-31,LOAN,6700000.0,12700000.0,52.8,JPY
4,CUST00010,2026-08-31,LOAN,0,1000000,0.0,JPY
5,CUST00013,2026-08-31,LOAN,6016667.0,7800000.0,77.1,JPY
6,CUST00016,2026-08-31,LOAN,15032500.0,29100000.0,51.7,JPY
7,CUST00019,2026-08-31,LOAN,73928571.0,144800000.0,51.1,JPY
8,CUST00022,2026-08-31,LOAN,62109722.0,96900000.0,64.1,JPY
9,CUST00025,2026-08-31,LOAN,0,1000000,0.0,JPY
10,CUST00028,2026-08-31,LOAN,900000.0,1800000.0,50.0,JPY
11,CUST00031,2026-08-31,LOAN,0,1000000,0.0,JPY
12,CUST00034,2026-08-31,LOAN,107500.0,200000.0,53.8,JPY
13,CUST00037,2026-08-31,LOAN,0,1000000,0.0,JPY
14,CUST00040,2026-08-31,LOAN,450000.0,900000.0,50.0,JPY
15,CUST00043,2026-08-31,LOAN,0,1000000,0.0,JPY
16,CUST00046,2026-08-31,LOAN,0,1000000,0.0,JPY
17,CUST00049,2026-08-31,LOAN,0,1000000,0.0,JPY
18,CUST00052,2026-08-31,LOAN,316667.0,600000.0,52.8,JPY
19,CUST00055,2026-08-31,LOAN,0,1000000,0.0,JPY
20,CUST00058,2026-08-31,LOAN,600000.0,900000.0,66.7,JPY
21,CUST00061,2026-08-31,LOAN,0,1000000,0.0,JPY
22,CUST00064,2026-08-31,LOAN,54766667.0,65100000.0,84.1,JPY
23,CUST00067,2026-08-31,LOAN,0,1000000,0.0,JPY
24,CUST00070,2026-08-31,LOAN,60586667.0,70200000.0,86.3,JPY
25,CUST00073,2026-08-31,LOAN,0,1000000,0.0,JPY
26,CUST00076,2026-08-31,LOAN,628571.0,1100000.0,57.1,JPY
27,CUST00079,2026-08-31,LOAN,1555556.0,2300000.0,67.6,JPY
28,CUST00082,2026-08-31,LOAN,88836667.0,156000000.0,56.9,JPY
29,CUST00085,2026-08-31,LOAN,1600833.0,3000000.0,53.4,JPY
30,CUST00088,2026-08-31,LOAN,0,1000000,0.0,JPY
31,CUST00091,2026-08-31,LOAN,57313611.0,66100000.0,86.7,JPY
32,CUST00094,2026-08-31,LOAN,214286.0,300000.0,71.4,JPY
33,CUST00097,2026-08-31,LOAN,0,1000000,0.0,JPY
34,CUST00100,2026-08-31,LOAN,0,1000000,0.0,JPY
35,CUST00103,2026-08-31,LOAN,0,1000000,0.0,JPY
36,CUST00107,2026-08-31,LOAN,0,1000000,0.0,JPY
37,CUST00110,2026-08-31,LOAN,68053571.0,133200000.0,51.1,JPY
38,CUST00113,2026-08-31,LOAN,0,1000000,0.0,JPY
39,CUST00116,2026-08-31,LOAN,0,1000000,0.0,JPY
40,CUST00119,2026-08-31,LOAN,0,1000000,0.0,JPY
41,CUST00002,2026-08-31,LOAN,1000000.0,1600000.0,62.5,JPY
42,CUST00005,2026-08-31,LOAN,0,1000000,0.0,JPY
43,CUST00008,2026-08-31,LOAN,0,1000000,0.0,JPY
44,CUST00011,2026-08-31,LOAN,0,1000000,0.0,JPY
45,CUST00014,2026-08-31,LOAN,0,1000000,0.0,JPY
46,CUST00017,2026-08-31,LOAN,32095000.0,41100000.0,78.1,JPY
47,CUST00020,2026-08-31,LOAN,0,1000000,0.0,JPY
48,CUST00023,2026-08-31,LOAN,0,1000000,0.0,JPY
49,CUST00026,2026-08-31,LOAN,0,1000000,0.0,JPY
50,CUST00029,2026-08-31,LOAN,40515000.0,76400000.0,53.0,JPY
51,CUST00032,2026-08-31,LOAN,0,1000000,0.0,JPY
52,CUST00035,2026-08-31,LOAN,0,1000000,0.0,JPY
53,CUST00038,2026-08-31,LOAN,0,1000000,0.0,JPY
54,CUST00041,2026-08-31,LOAN,50310000.0,93100000.0,54.0,JPY
55,CUST00044,2026-08-31,LOAN,10889167.0,19500000.0,55.8,JPY
56,CUST00047,2026-08-31,LOAN,48448571.0,83600000.0,58.0,JPY
57,CUST00050,2026-08-31,LOAN,1100000.0,1400000.0,78.6,JPY
58,CUST00053,2026-08-31,LOAN,53178889.0,99000000.0,53.7,JPY
59,CUST00056,2026-08-31,LOAN,28333333.0,40700000.0,69.6,JPY
60,CUST00059,2026-08-31,LOAN,250000.0,300000.0,83.3,JPY
61,CUST00050,2026-08-31,CARD,400000.0,1700000,23.5,JPY
62,CUST00065,2026-08-31,CARD,1488000.0,1900000,78.3,JPY
63,CUST00081,2026-08-31,CARD,2382000.0,3400000,70.1,JPY
64,CUST00086,2026-08-31,CARD,1099000.0,2100000,52.3,JPY
65,CUST00054,2026-08-31,CARD,1246000.0,3500000,35.6,JPY
66,CUST00055,2026-08-31,CARD,3720000.0,4200000,88.6,JPY
67,CUST00090,2026-08-31,CARD,2384000.0,3100000,76.9,JPY
68,CUST00102,2026-08-31,CARD,1361000.0,2100000,64.8,JPY
69,CUST00060,2026-08-31,CARD,788000.0,2000000,39.4,JPY
70,CUST00073,2026-08-31,CARD,1739000.0,2100000,82.8,JPY
71,CUST00072,2026-08-31,CARD,937000.0,3600000,26.0,JPY
72,CUST00119,2026-08-31,CARD,72000.0,1300000,5.5,JPY
73,CUST00042,2026-08-31,CARD,173000.0,1700000,10.2,JPY
74,CUST00059,2026-08-31,CARD,796000.0,1500000,53.1,JPY
75,CUST00009,2026-08-31,CARD,1389000.0,3400000,40.9,JPY
76,CUST00083,2026-08-31,CARD,341000.0,700000,48.7,JPY
77,CUST00057,2026-08-31,CARD,535000.0,1100000,48.6,JPY
78,CUST00049,2026-08-31,CARD,381000.0,1600000,23.8,JPY
79,CUST00053,2026-08-31,CARD,1404000.0,2500000,56.2,JPY
80,CUST00109,2026-08-31,CARD,462000.0,2100000,22.0,JPY
81,CUST00025,2026-08-31,CARD,31000.0,1100000,2.8,JPY
82,CUST00061,2026-08-31,CARD,3197000.0,4200000,76.1,JPY
83,CUST00028,2026-08-31,CARD,1411000.0,1900000,74.3,JPY
84,CUST00084,2026-08-31,CARD,2282000.0,3300000,69.2,JPY
85,CUST00097,2026-08-31,CARD,153000.0,400000,38.2,JPY
86,CUST00038,2026-08-31,CARD,1027000.0,4200000,24.5,JPY
87,CUST00096,2026-08-31,CARD,371000.0,600000,61.8,JPY
88,CUST00036,2026-08-31,CARD,277000.0,800000,34.6,JPY
89,CUST00094,2026-08-31,CARD,874000.0,1400000,62.4,JPY
90,CUST00024,2026-08-31,CARD,1557000.0,1900000,81.9,JPY
