ATM_ID,BRANCH_ID,LOCATION_NAME,ADDRESS,ATM_TYPE,CASH_BALANCE,STATUS,LAST_SERVICED_AT
ATM0001,BR001,本店営業部 ATM1,東京都千代田区丸の内1-1-1,CASH_ONLY,8270000,ONLINE,2026-07-05
ATM0002,BR002,新宿支店 ATM2,東京都新宿区西新宿2-8-1,FULL_FUNCTION,7740000,ONLINE,2026-08-05
ATM0003,BR003,渋谷支店 ATM3,東京都渋谷区道玄坂1-12-1,FULL_FUNCTION,8370000,ONLINE,2026-08-25
ATM0004,BR004,横浜支店 ATM1,神奈川県横浜市西区北幸1-4-1,CASH_ONLY,5230000,ONLINE,2026-08-22
ATM0005,BR005,大阪支店 ATM2,大阪府大阪市北区梅田3-1-3,CASH_ONLY,3300000,ONLINE,2026-08-17
ATM0006,BR006,神戸支店 ATM3,兵庫県神戸市中央区三宮町1-8-1,FULL_FUNCTION,1210000,ONLINE,2026-07-06
ATM0007,BR007,名古屋支店 ATM1,愛知県名古屋市中村区名駅1-1-4,CASH_ONLY,4770000,ONLINE,2026-08-09
ATM0008,BR008,福岡支店 ATM2,福岡県福岡市博多区博多駅前2-1-1,CASH_ONLY,600000,OUT_OF_SERVICE,2026-07-04
ATM0009,BR009,札幌支店 ATM3,北海道札幌市中央区北5条西2-5,FULL_FUNCTION,6760000,ONLINE,2026-08-22
ATM0010,BR010,仙台支店 ATM1,宮城県仙台市青葉区中央1-3-1,CASH_ONLY,6310000,ONLINE,2026-07-18
ATM0011,BR011,広島出張所 ATM2,広島県広島市南区松原町2-37,FULL_FUNCTION,3460000,ONLINE,2026-08-23
ATM0012,BR012,インターネット支店 ATM3,-,FULL_FUNCTION,5050000,ONLINE,2026-08-11
ATM0013,BR001,本店営業部 ATM1,東京都千代田区丸の内1-1-1,FULL_FUNCTION,4010000,ONLINE,2026-08-23
ATM0014,BR002,新宿支店 ATM2,東京都新宿区西新宿2-8-1,FULL_FUNCTION,1290000,ONLINE,2026-08-29
ATM0015,BR003,渋谷支店 ATM3,東京都渋谷区道玄坂1-12-1,FULL_FUNCTION,8550000,ONLINE,2026-07-23
ATM0016,BR004,横浜支店 ATM1,神奈川県横浜市西区北幸1-4-1,FULL_FUNCTION,2000000,LOW_CASH,2026-07-20
ATM0017,BR005,大阪支店 ATM2,大阪府大阪市北区梅田3-1-3,CASH_ONLY,8310000,ONLINE,2026-08-04
ATM0018,BR006,神戸支店 ATM3,兵庫県神戸市中央区三宮町1-8-1,CASH_ONLY,8600000,ONLINE,2026-07-20
ATM0019,BR007,名古屋支店 ATM1,愛知県名古屋市中村区名駅1-1-4,FULL_FUNCTION,5290000,ONLINE,2026-08-06
ATM0020,BR008,福岡支店 ATM2,福岡県福岡市博多区博多駅前2-1-1,FULL_FUNCTION,1990000,ONLINE,2026-07-27
