MERCHANT_ID,MERCHANT_NAME,MERCHANT_CATEGORY,MCC,COUNTRY,CITY
MER0001,セブン-イレブン,コンビニエンスストア,5411,JP,東京
MER0002,ファミリーマート,コンビニエンスストア,5411,JP,横浜
MER0003,イオンスタイル,スーパーマーケット,5411,JP,
MER0004,マツモトキヨシ,ドラッグストア,5912,JP,大阪
MER0005,ユニクロ,衣料品,5651,JP,東京
MER0006,ビックカメラ,家電量販,5732,JP,東京
MER0007,Amazon.co.jp,ECモール,5942,IE,東京
MER0008,楽天市場,ECモール,5399,JP,福岡
MER0009,JR東日本,鉄道,4111,JP,名古屋
MER0010,東京メトロ,鉄道,4111,JP,東京
MER0011,ENEOS,ガソリンスタンド,5541,JP,
MER0012,スターバックス,カフェ,5814,JP,名古屋
MER0013,マクドナルド,ファストフード,5814,JP,大阪
MER0014,大戸屋,レストラン,5812,JP,
MER0015,ANA,航空,3000,JP,名古屋
MER0016,JAL,航空,3001,JP,福岡
MER0017,аpple.com,デジタルコンテンツ,5734,JP,大阪
MER0018,Google Play,デジタルコンテンツ,5734,IE,東京
MER0019,Netflix,動画配信,4899,SE,大阪
MER0020,Spotify,音楽配信,4899,US,東京
MER0021,東京電力,公共料金,4900,JP,福岡
MER0022,東京ガス,公共料金,4900,JP,
MER0023,NTTドコモ,通信,4814,JP,福岡
MER0024,ソフトバンク,通信,4814,JP,大阪
MER0025,三井住友海上,保険,6300,JP,大阪
MER0026,ヨドバシカメラ,家電量販,5732,JP,
MER0027,成城石井,スーパーマーケット,5411,JP,名古屋
MER0028,すかいらーく,レストラン,5812,JP,福岡
MER0029,Booking.com,旅行,4722,US,名古屋
MER0030,ホテルニューオータニ,宿泊,7011,JP,
