RELATIONSHIP_ID,CUSTOMER_ID,RELATED_CUSTOMER_ID,RELATIONSHIP_TYPE,VALID_FROM,NOTES
1,CUST00029,CUST00094,PARENT,2016-07-01,
2,CUST00016,CUST00081,PARENT,2022-03-01,
3,CUST00109,CUST00095,GROUP_COMPANY,2020-12-01,
4,CUST00088,CUST00108,PARENT,2025-11-01,
5,CUST00041,CUST00018,CHILD,2014-10-01,
6,CUST00044,CUST00065,SPOUSE,2016-04-01,
7,CUST00014,CUST00076,GROUP_COMPANY,2019-03-01,
8,CUST00099,CUST00118,SPOUSE,2024-04-01,
9,CUST00055,CUST00076,CHILD,2020-06-01,
10,CUST00064,CUST00052,SPOUSE,2010-05-01,
11,CUST00060,CUST00107,PARENT,2023-06-01,
12,CUST00111,CUST00060,SPOUSE,2012-01-01,
13,CUST00015,CUST00101,CHILD,2014-09-01,
14,CUST00055,CUST00111,PARENT,2020-06-01,
15,CUST00044,CUST00086,GROUP_COMPANY,2019-12-01,
16,CUST00036,CUST00055,GROUP_COMPANY,2020-01-01,
17,CUST00041,CUST00052,PARENT,2022-04-01,
18,CUST00075,CUST00086,GUARANTOR,2010-12-01,
19,CUST00061,CUST00030,CHILD,2013-10-01,
20,CUST00103,CUST00109,GROUP_COMPANY,2022-12-01,
21,CUST00026,CUST00070,SPOUSE,2011-05-01,
22,CUST00042,CUST00100,GROUP_COMPANY,2024-07-01,
23,CUST00116,CUST00073,SPOUSE,2017-10-01,
24,CUST00053,CUST00025,CHILD,2012-12-01,
25,CUST00042,CUST00032,SPOUSE,2011-07-01,
