BRANCH_ID,BRANCH_CODE,BRANCH_NAME,BRANCH_TYPE,REGION,ADDRESS,PHONE,MANAGER_ID,OPENED_DATE,STATUS
BR001,001,本店営業部,HEAD_OFFICE,関東,東京都千代田区丸の内1-1-1,092-5426-2370,EMP0001,1985-04-01,ACTIVE
BR002,013,新宿支店,FULL_SERVICE,関東,東京都新宿区西新宿2-8-1,011-9407-6154,EMP0002,1987-04-01,ACTIVE
BR003,021,渋谷支店,FULL_SERVICE,関東,東京都渋谷区道玄坂1-12-1,052-2725-4736,EMP0003,1989-04-01,ACTIVE
BR004,035,横浜支店,FULL_SERVICE,関東,神奈川県横浜市西区北幸1-4-1,03-5884-4392,EMP0004,1991-04-01,ACTIVE
BR005,104,大阪支店,FULL_SERVICE,関西,大阪府大阪市北区梅田3-1-3,06-1933-4678,EMP0005,1993-04-01,ACTIVE
BR006,112,神戸支店,FULL_SERVICE,関西,兵庫県神戸市中央区三宮町1-8-1,03-1096-4572,EMP0006,1995-04-01,ACTIVE
BR007,150,名古屋支店,FULL_SERVICE,中部,愛知県名古屋市中村区名駅1-1-4,092-3698-4468,EMP0007,1997-04-01,ACTIVE
BR008,201,福岡支店,FULL_SERVICE,九州,福岡県福岡市博多区博多駅前2-1-1,011-6427-1699,EMP0008,1999-04-01,ACTIVE
BR009,230,札幌支店,FULL_SERVICE,北海道,北海道札幌市中央区北5条西2-5,03-7485-1796,EMP0009,2001-04-01,ACTIVE
BR010,260,仙台支店,FULL_SERVICE,東北,宮城県仙台市青葉区中央1-3-1,011-5784-3023,EMP0010,2003-04-01,ACTIVE
BR011,301,広島出張所,SUB_BRANCH,中国,広島県広島市南区松原町2-37,052-1505-1617,EMP0011,2005-04-01,ACTIVE
BR012,900,インターネット支店,DIGITAL,全国,-,03-9680-7372,EMP0012,2007-04-01,ACTIVE
